coverage_ratio,crop_path,image_id,source_path,split,status
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000000.jpg,0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250224_135746_jpg.rf.32e88276238ca720ace89f220f04d0cc.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000001.jpg,1,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250127_153948_jpg.rf.eeb9c78e84791f1a0f4a09e8e3d9fa22.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000002.jpg,2,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250324_140020_jpg.rf.8db068b6d88f4c1adf3483a6d3e41780.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000003.jpg,3,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250127_153229_jpg.rf.378610fead8f13eb9e4fa4e22280d2fe.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000004.jpg,4,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250224_134224_jpg.rf.1172fa7b64e2ebc00cd8f35d2b6e4abf.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000005.jpg,5,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250224_134542_jpg.rf.14c061d17fb1dba74da76cf4ecea12dd.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000006.jpg,6,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250224_135227_jpg.rf.404d898c474d71ac45a89f85b96c1b9f.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000007.jpg,7,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250324_140330_jpg.rf.5657464af1ce5d560e80f564a76f4365.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000008.jpg,8,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250312_123708_jpg.rf.fdc9d3c7ffe79d89004746f396edd16e.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000009.jpg,9,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250324_134454_jpg.rf.2c32696979be6e5d48c17ef1ed34b89d.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000010.jpg,10,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250224_135154_jpg.rf.47854eb1d7cdb78a3107214335122e19.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000011.jpg,11,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250324_141030_jpg.rf.99395a2f7d9ab258d0a66cbceb9774be.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000012.jpg,12,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250127_154146_jpg.rf.be12b922b744a305a5164a36c6eafe29.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000013.jpg,13,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250127_153423_jpg.rf.3b8cc7ee0aab40814b0be7885494846a.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000014.jpg,14,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250127_154556_jpg.rf.35bef78d11429d2cc1838c76043738a8.jpg,train,ok
1.0,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\vit-tcc-qlora-hidrometro\data\crops\train\000015.jpg,15,C:\Users\Niccolas\Downloads\TrabalhoDetecaoObjetos\mask-rcnn\dataset-hidrometro\train\20250224_135512_jpg.rf.142ba8f37167e11d61c23e018eb84081.jpg,train,ok
